"stop_number","stop_name","lon","lat","distance_from_center"
"1502","Naujininkai",25.27418,54.66275,2.77900119814706
"1503","Prūsų st.",25.27281,54.66522,2.5211360884714
"1504","Prūsų st.",25.27316,54.66505,2.53585383748648
"1505","Dzūkų st.",25.27651,54.66528,2.48311263191951
"1506","Dzūkų st.",25.27595,54.66582,2.42669855693934
"1507","Rudaminos st.",25.28024,54.66428,2.58543681234786
"1508","Rudaminos st.",25.27975,54.66463,2.5463658503666
"1509","Panevėžio st.",25.28476,54.66814,2.17952276185485
"1510","Merkinės st.",25.28719,54.66417,2.64060994724511
"1511","Merkinės st.",25.28622,54.66421,2.62571163736764
"1512","Perlojos st.",25.29368,54.66423,2.7402219274979
"1513","Žirnių st.",25.30182,54.65458,3.92794334393216
"1514","Liepkalnis",25.29885,54.66285,3.00520788461619
"1515","Tyzenhauzų st.",25.29218,54.65593,3.60280020686882
"1516","Karaimų kapinės",25.29452,54.65581,3.65189022917567
"1517","Naujininkai",25.27409,54.66237,2.82164918351843
"1518","Naujininkai",25.27419,54.66276,2.7778151302807
"1519","Liepkalnis",25.29962,54.66277,3.03379353217913
"1520","Vikingų st.",25.28203,54.65123,4.03892218722325
"1521","Vikingų st.",25.28255,54.65183,3.97359553593808
"1522","Tyzenhauzų st.",25.29055,54.65633,3.53747041375694
"1523","Vikingų slėnis",25.28045,54.65304,3.83534076739298
"1601","Miškiniai",25.22725,54.67119,3.83590796236307
"1602","Miškiniai",25.22641,54.67093,3.89717102813394
"1603","Parodų rūmai",25.2225,54.67561,3.91468828650558
"1604","Parodų rūmai",25.22186,54.67577,3.94748854031919
"1605","Ąžuolo st.",25.21701,54.67934,4.13767168735282
"1606","Ąžuolo st.",25.21765,54.67994,4.08321197460254
"1607","Ryto st.",25.21371,54.68215,4.29010316917212
"1608","Ryto st.",25.21309,54.68268,4.3217936594088
"1609","Lazdynai",25.21331,54.67891,4.38022879388419
"1610","Lazdynai",25.21329,54.67926,4.37311633260151
"1611","Lazdynai",25.21233,54.67778,4.47057633159597
"1612","Akacijų st.",25.20273,54.67818,5.06212817675061
"1613","Akacijų st.",25.20181,54.67792,5.12598573329751
"1614","Žėručio st.",25.20696,54.67642,4.84262688855708
"1615","Lazdynų seniūnija",25.20412,54.6752,5.05453649048903
"1616","Lazdynų seniūnija",25.20258,54.67473,5.16407961048624
"1617","Erfurto st.",25.20114,54.67363,5.28764285207493
"1618","Šalnos st.",25.20703,54.67281,4.95618677151203
"1619","Architektų st.",25.21451,54.67343,4.48048817268795
"1620","Riešutų st.",25.21611,54.67653,4.27300587220568
"1621","Oslo st",25.19699,54.67084,5.63787562249634
"1622","Oslo st.",25.19759,54.67016,5.62701234430446
"1623","Oslo st.",25.19796,54.66953,5.62924029659016
"1624","Lazdynų ligoninė",25.20809,54.6705,4.98386443629433
"1625","Jonažolių st.",25.2074,54.66997,5.04745706067023
"1626","Lazdynų ligoninė",25.20903,54.67031,4.93618584579932
"1627","Jonažolių st.",25.20846,54.66985,4.98993463889731
"1628","Šiltnamių st.",25.21418,54.67106,4.59892926932191
"1629","Šiltnamių st.",25.21492,54.67091,4.56206871707782
"1630","Pakalnučių st.",25.21298,54.66911,4.75910515651683
"1631","Bijūnų st.",25.21588,54.6674,4.67950932389545
"1632","Neužmirštuolių st.",25.20248,54.65818,5.94699748976043
"1633","Neužmirštuolių st.",25.20379,54.65845,5.86013251645926
"1634","Bukčiai",25.19563,54.65501,6.50901985233629
"1635","Paukščių takas",25.20922,54.68085,4.59727585193334
"1636","Paukščių takas",25.20884,54.68065,4.62502053325331
"1637","Žaros st.",25.19581,54.66672,5.8747207138458
"1638","Žaros st.",25.19576,54.66649,5.88780499928801
"1639","Lazdynėliai(išlaipinama)",25.19201,54.66229,6.30366967654556
